time_s,sensor_id,axis,acceleration_mps2,velocity_mps
0.0000,STN_A,Z,0.006473,-0.000643
0.0100,STN_A,Z,0.055852,-0.000767
0.0200,STN_A,Z,0.034543,-0.001231
0.0300,STN_A,Z,0.115055,-0.000926
0.0400,STN_A,Z,0.118358,-0.000811
0.0500,STN_A,Z,0.351844,0.001304
0.0600,STN_A,Z,0.127318,0.000790
0.0700,STN_A,Z,0.036344,-0.001075
0.0800,STN_A,Z,0.222848,-0.001677
0.0900,STN_A,Z,0.334653,-0.001730
0.1000,STN_A,Z,0.390840,-0.001800
0.1100,STN_A,Z,0.496623,-0.001087
0.1200,STN_A,Z,0.636294,0.000674
0.1300,STN_A,Z,0.684483,0.002346
0.1400,STN_A,Z,0.696681,0.003749
0.1500,STN_A,Z,0.627553,0.004283
0.1600,STN_A,Z,0.475501,0.003087
0.1700,STN_A,Z,0.607195,0.003134
0.1800,STN_A,Z,0.614358,0.003229
0.1900,STN_A,Z,0.511868,0.002292
0.2000,STN_A,Z,0.600011,0.002227
0.2100,STN_A,Z,0.571304,0.001764
0.2200,STN_A,Z,0.660160,0.002112
0.2300,STN_A,Z,0.690862,0.002850
0.2400,STN_A,Z,0.705784,0.003831
0.2500,STN_A,Z,0.739571,0.005588
0.2600,STN_A,Z,0.551770,0.005879
0.2700,STN_A,Z,0.525103,0.006116
0.2800,STN_A,Z,0.520608,0.006845
0.2900,STN_A,Z,0.073259,0.003693
0.3000,STN_A,Z,0.188333,0.002366
0.3100,STN_A,Z,0.358672,0.003404
0.3200,STN_A,Z,0.123333,0.002666
0.3300,STN_A,Z,0.098143,0.002255
0.3400,STN_A,Z,0.031485,0.001424
0.3500,STN_A,Z,0.078524,0.001074
0.3600,STN_A,Z,-0.026710,-0.000221
0.3700,STN_A,Z,-0.052827,-0.001613
0.3800,STN_A,Z,0.272942,0.000120
0.3900,STN_A,Z,0.063783,-0.000342
0.4000,STN_A,Z,0.080923,-0.000837
0.4100,STN_A,Z,0.194218,-0.000523
0.4200,STN_A,Z,0.255242,0.000054
0.4300,STN_A,Z,0.202521,-0.000145
0.4400,STN_A,Z,0.235888,0.000035
0.4500,STN_A,Z,0.401889,0.001635
0.4600,STN_A,Z,0.321236,0.002288
0.4700,STN_A,Z,0.195377,0.001651
0.4800,STN_A,Z,0.227533,0.001514
0.4900,STN_A,Z,0.304468,0.002239
0.5000,STN_A,Z,0.220774,0.002044
0.5100,STN_A,Z,0.225386,0.001871
0.5200,STN_A,Z,0.078068,0.000061
0.5300,STN_A,Z,0.108612,-0.001749
0.5400,STN_A,Z,0.319106,-0.001751
0.5500,STN_A,Z,0.426104,-0.000911
0.5600,STN_A,Z,0.485592,0.000238
0.5700,STN_A,Z,0.501062,0.001300
0.5800,STN_A,Z,0.523600,0.002067
0.5900,STN_A,Z,0.532423,0.002329
0.6000,STN_A,Z,0.507089,0.001902
0.6100,STN_A,Z,0.467376,0.000893
0.6200,STN_A,Z,0.597282,0.001363
0.6300,STN_A,Z,0.702778,0.003221
0.6400,STN_A,Z,0.754389,0.006039
0.6500,STN_A,Z,0.611737,0.008097
0.6600,STN_A,Z,0.305315,0.007646
0.6700,STN_A,Z,0.167013,0.006344
0.6800,STN_A,Z,0.080427,0.005083
0.6900,STN_A,Z,-0.133590,0.002720
0.7000,STN_A,Z,-0.048534,0.001953
0.7100,STN_A,Z,-0.064810,0.001402
0.7200,STN_A,Z,-0.309727,-0.001381
0.7300,STN_A,Z,-0.335217,-0.004290
0.7400,STN_A,Z,0.009569,-0.003817
0.7500,STN_A,Z,0.232052,-0.001462
0.7600,STN_A,Z,0.088751,-0.000884
0.7700,STN_A,Z,0.038467,-0.001159
0.7800,STN_A,Z,0.144839,-0.000874
0.7900,STN_A,Z,0.210124,-0.000604
0.8000,STN_A,Z,0.296304,0.000325
0.8100,STN_A,Z,0.284447,0.001513
0.8200,STN_A,Z,0.193644,0.002079
